"Tool_Name","Year","Language","Category","Type"
"1	CitationChaser",2022,"R","Automation","Modular"
"2	litsearchr",2019,"R","Search","Modular"
"3	OpenAlex",2022,"Python","Open Catalog","Modular"
"4	R: RISmed",2021,"R","Search","Modular"
"5	R: easyPubMed",2025,"R","Search","Modular"
"6	PubTator 3.0",2024,"Python","Text Mining","Modular"
"7	Unpaywall",2018,"Python","Extension","Modular"
"8	R: openalex",2024,"R","Search","Modular"
"10	TERA Explorer",2020,"Vue","Workflow","Modular"
"11	SRA Polyglot",2020,"Javasscript","Search","Modular"
"12	BioTextQuest v2.0",2024,"R","Text Mining","Modular"
"13	Kindred",2017,"Python","Text Mining","Modular"
"14	Zotero",2024,"Javascript","Manager","Modular"
"15	JabRef",2021,"Java","Manager","Modular"
"16	OpenRefine",2024,"Java","Data Cleaning","Modular"
"17	BiblioGlutton",2024,"Java","Extension","Modular"
"18	Docear",2011,"Java","Manager","Modular"
"19	ZotFile",2024,"Java","Plugin","Modular"
"20	BibDesk",2024,"Objective-C","Manager","Modular"
"21	BibSonomy",2010,"Java","Manager","Modular"
"22	Zotero Better BibTeX",2024,"TypeScript","Plugin","Modular"
"23	Papis",2024,"Python","Manager","Modular"
"24	Manubot",2019,"Python","Manager","Modular"
"25	Dedupe",2022,"Python","Data Cleaning","Modular"
"26	ASReview",2021,"Python","Screening","Modular"
"27	ReviewAid",2025,"Python","Data Extraction","Modular"
"28	Abstrackr",2012,"Python","Screening","Modular"
"29	Colandr",2018,"Python","Workflow","Modular"
"30	R: revtools",2019,"R","Screening","Modular"
"31	R: metagear",2016,"R","Screening","Modular"
"32	RobotReviewer",2016,"Python","Risk of Bias","Modular"
"33	Tabula",2020,"CSS","Data Extraction","Modular"
"34	WebPlotDigitizer (v4)",2017,"JavaScript","Data Extraction","Modular"
"35	GROBID",2025,"Java","Data Extraction","Modular"
"36	OCRmyPDF",2024,"Python","Data Extraction","Modular"
"37	Tesseract OCR",2007,"C++","Data Extraction","Modular"
"38	Pandoc",2024,"Haskell","Workflow","Modular"
"39	Camelot",2024,"Python","Data Extraction","Modular"
"40	PDFPlumber",2026,"Python","Data Extraction","Modular"
"41	SciSpaCy",2019,"Python","Text Mining","Modular"
"42	Nougat",2024,"Python","Data Extraction","Modular"
"43	PDFtk (PDF Toolkit)",2025,"Java","Workflow","Modular"
"44	PyPDF2",2024,"Python","Workflow","Modular"
"45	NLP Annotation",2024,"Python","Text Mining","Modular"
"46	ImageJ",2012,"Java","Data Extraction","Modular"
"47	Engauge Digitizer",2024,"C++","Data Extraction","Modular"
"48	Recogito",2014,"PLpgSQL","Data Extraction","Modular"
"49	Hypothes.is",2026,"Python","Screening","Modular"
"50	Critiplot",2025,"Python","Visualization","Modular"
"51	robvis",2021,"R","Visualization","Modular"
"52	NOS-TLPlot",2026,"Python","Visualization","Modular"
"53	psychometric",2024,"R","Visualization","Modular"
"54	metaviz",2019,"R","Visualization","Modular"
"55	R: EValue",2017,"R","Meta-analysis","Modular"
"56	psychmeta",2019,"R","Meta-analysis","Modular"
"57	statcheck",2016,"R","Automation","Modular"
"58	R: syuzhet",2015,"R","Text Mining","Modular"
"59	R: metafor",2010,"R","Meta-analysis","Modular"
"60	R: meta",2019,"R","Meta-analysis","Modular"
"61	R: netmeta",2012,"R","Meta-analysis","Modular"
"62	OpenMEE",2017,"R","Meta-analysis","Modular"
"63	OpenMeta[Analyst] / Meta-Analyst",2012,"Python","Meta-analysis","Modular"
"64	JASP",2019,"C++","Meta-analysis","Modular"
"65	OpenEpi",2013,"R","Meta-analysis","Modular"
"66	PyMC",2016,"Python","Meta-analysis","Modular"
"67	JAGS",2003,"C++","Meta-analysis","Modular"
"68	Stan",2017,"C++","Meta-analysis","Modular"
"69	R: meta4diag",2018,"R","Meta-analysis","Modular"
"70	R: mada",2022,"R","Meta-analysis","Modular"
"71	R: bmeta",2025,"R","Meta-analysis","Modular"
"72	R: MAc",2010,"R","Meta-analysis","Modular"
"73	R: metaRNAseq",2014,"R","Meta-analysis","Modular"
"74	R: metaMA",2009,"R","Meta-analysis","Modular"
"75	R: metaSEM",2015,"R","Meta-analysis","Modular"
"76	R: gemtc",2021,"R","Meta-analysis","Modular"
"77	R: multinma",2020,"R","Meta-analysis","Modular"
