"Name","Reason"
"A2A (Apples to Apples)","SaaS/No public repo."
"AlvisIR Food semantic search engine","SaaS/No public repo."
"BADERI","SaaS/No public repo."
"BEST (Biomedical Entity Search Tool)","SaaS/No public repo."
"BioReader","SaaS/No public repo."
"Cientopolis Scolr","SaaS/No public repo."
"CiteSeerX","SaaS/Hosted service."
"Coremine Medical","SaaS."
"CrowdCARE","SaaS."
"Data Abstraction Assistant (DAA)","SaaS."
"DisMaNet","Service/Not software."
"DTA MA (Diagnostic Test Accuracy Meta-Analysis)","SaaS."
"Fiddle","Service."
"Graph Commons","SaaS."
"Inciteful.xyz","SaaS."
"JSTOR Text Analyser","Service."
"LitSuggest","Service."
"Medline (PubMed) trend","Service."
"MetaInsight","SaaS/No public repo found."
"NAILS (Network Analysis Interface for Literature Studies)","SaaS."
"Network explorer","Service."
"Practical Meta-Analysis Effect Size Calculator","Service."
"PRISMA Flow Diagram Generator","Service."
"Pymeta","Service."
"PubMed PICO Tool","Service."
"Research Screener","SaaS."
"Systematic Review Data Repository (SRDR)","Platform/Service."
"TaskExchange","Service."
"Trialstreamer","Service."
"Trip Rapid Reviews","Service."
"What review is right for you?","Service."
"GRIM test calculator","Service/Calculator."
"ORBIT (Outcome Reporting Bias in Trials) Matrix Generator","Service."
"Web-based AMSTAR checklist","Service."
