"Name","Reason"
"2dSearch","Proprietary."
"Adobe Illustrator CC","Proprietary."
"CiteSpace","Proprietary."
"Citavi","Proprietary."
"Cochrane RevMan calculators","Proprietary."
"Comprehensive Meta-Analysis (CMA)","Proprietary."
"Connected Papers","Proprietary."
"Deduklick","Proprietary."
"DistillerSR","Proprietary."
"Doctor Evidence (DOC Data)","Proprietary."
"Eppi-Mapper","Proprietary/Closed."
"EndNote","Proprietary."
"EPPI-Reviewer","Proprietary."
"GRADEpro","Proprietary."
"Import.io","Commercial SaaS."
"JBI-SUMARI","Proprietary."
"Jane (Journal/Author Name Estimator)","Proprietary service."
"Leaf","Institutional/Closed."
"Litmaps","Proprietary."
"MAGICapp","Commercial/Institutional."
"MedCalc","Proprietary."
"MeSH on Demand","Proprietary service."
"MetaXL","Proprietary."
"MetAnalysis","Proprietary."
"Microsoft Publisher","Proprietary."
"MIX 2.0","Proprietary."
"Nested-Knowledge","Proprietary."
"NVivo","Proprietary."
"OriginPro","Proprietary."
"PEx (Project Explorer)","Proprietary/Closed."
"Paperpile","Proprietary."
"Papers","Proprietary."
"Publish or Perish","Proprietary."
"Qiqqa","Proprietary."
"Quertle","Proprietary."
"Rayyan","Proprietary."
"RefWorks","Proprietary."
"ResearchRabbit","Proprietary."
"Review Manager (RevMan)","Proprietary."
"RobotAnalyst","Proprietary/No public repo."
"SAS","Proprietary."
"scite.ai","Proprietary."
"SPSS","Proprietary."
"SRDB.PRO","Proprietary."
"Stata","Proprietary."
"SWIFT-Active Screener","Proprietary."
"SWIFT-Review","Proprietary."
"Syras","Proprietary."
"SyRF","Proprietary."
"SysRev","Proprietary."
"WebPlotDigitizer (v5+)","Proprietary."
"WEasyMA","Proprietary."
"WordStat","Proprietary."
"Yale MeSH Analyzer","Proprietary service."
"yEd Graph Editor","Proprietary."
"FLC 3.0 critical appraisal tools","Closed source/Checklist."
